0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:29:33 +0900] "GET /board_ex09/board/list?type=T&keyword= HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:29:33 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:29:35 +0900] "GET /board_ex09/board/list?type=T&keyword= HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:29:35 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:29:36 +0900] "GET /board_ex09/board/list?type=T&keyword= HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:29:36 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:29:37 +0900] "GET /board_ex09/board/list?type=T&keyword= HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:29:37 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:30:00 +0900] "GET /board_ex09/board/list?type=T&keyword= HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:30:00 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:30:01 +0900] "GET /board_ex09/board/list HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:30:02 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:30:03 +0900] "GET /board_ex09/board/list?type=&keyword= HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:30:04 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:30:05 +0900] "GET /board_ex09/board/list?type=&keyword= HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:30:05 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:30:08 +0900] "GET /board_ex09/board/list?type=&keyword= HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:30:08 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:31:06 +0900] "GET /board_ex09/board/list?type=&keyword= HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:31:06 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:31:08 +0900] "GET /board_ex09/board/list?type=&keyword= HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:31:08 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:31:10 +0900] "GET /board_ex09/board/get?bno=1239&page=1&type=&keyword= HTTP/1.1" 200 3782
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:31:10 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:31:12 +0900] "GET /board_ex09/board/list?bno=1239&title=CSS%EC%97%B0%EC%8A%B5%EC%9D%B4%EC%A7%80%EB%A1%B1&writer=%EB%B0%B0%EA%B3%B1%EA%B0%9C%EB%B3%B5&contents=%EA%B0%9C%EB%82%B4%EA%B3%B1%EA%B0%9C%EA%B3%B1+%EA%B0%9C%EB%B0%B0%EA%B3%A0%EC%98%A4%EC%98%A4%EC%98%A4%EC%98%B5&page=1&type=&keyword= HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:31:12 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:20 +0900] "GET /board_ex09/board/list?bno=1239&title=CSS%EC%97%B0%EC%8A%B5%EC%9D%B4%EC%A7%80%EB%A1%B1&writer=%EB%B0%B0%EA%B3%B1%EA%B0%9C%EB%B3%B5&contents=%EA%B0%9C%EB%82%B4%EA%B3%B1%EA%B0%9C%EA%B3%B1+%EA%B0%9C%EB%B0%B0%EA%B3%A0%EC%98%A4%EC%98%A4%EC%98%A4%EC%98%B5&page=1&type=&keyword= HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:20 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:23 +0900] "GET /board_ex09 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:23 +0900] "GET /board_ex09/ HTTP/1.1" 200 2228
